                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9441,                 1.7108,                 2.3943,                0.98019,                0.76923,                0.91125,                0.51063,                 1.5696,                 1.4676,                 2.1652,             0.00057957,             0.00057957,             0.00057957
                     36,                 1.8045,                  1.573,                 2.3428,                0.99661,                0.92308,                0.98188,                0.61811,                 1.4619,                 1.3818,                  2.093,             0.00053652,             0.00053652,             0.00053652
                     37,                 1.7084,                 1.9602,                 2.3008,                 0.9747,                0.92308,                0.97853,                0.63027,                 1.4411,                 1.4573,                 2.0911,             0.00049348,             0.00049348,             0.00049348
                     38,                 1.7898,                  1.881,                   2.38,                      1,                0.91459,                0.98188,                0.60573,                 1.5494,                 1.3635,                 2.1118,             0.00045043,             0.00045043,             0.00045043
                     39,                 1.7423,                 1.7135,                 2.3137,                      1,                0.91339,                0.98567,                0.59576,                 1.6205,                 1.3867,                 2.1426,             0.00040739,             0.00040739,             0.00040739
                     40,                 1.6517,                 1.6762,                 2.2384,                0.99208,                0.92308,                0.97556,                0.56495,                 1.6361,                 1.4855,                 2.1677,             0.00036435,             0.00036435,             0.00036435
                     41,                 1.6302,                 1.6025,                 2.3226,                 0.9223,                0.91373,                0.95841,                0.57397,                 1.6414,                  1.478,                 2.1626,              0.0003213,              0.0003213,              0.0003213
                     42,                  1.701,                 1.6151,                 2.3189,                0.95047,                0.92308,                   0.99,                0.59332,                 1.4981,                 1.2338,                  2.049,             0.00027826,             0.00027826,             0.00027826
                     43,                 1.5114,                 1.5304,                 2.0855,                      1,                0.98894,                  0.995,                0.62335,                 1.4765,                 1.2491,                 2.0059,             0.00023522,             0.00023522,             0.00023522
                     44,                 1.5836,                 1.4596,                 2.1503,                0.99615,                      1,                  0.995,                0.61682,                 1.4702,                 1.2009,                 2.0247,             0.00019217,             0.00019217,             0.00019217
                     45,                 1.5728,                  1.467,                 2.1122,                0.98435,                      1,                  0.995,                0.62733,                 1.4059,                 1.1355,                 1.9963,             0.00014913,             0.00014913,             0.00014913
                     46,                 1.5515,                   1.44,                 2.1744,                0.98781,                      1,                  0.995,                 0.6137,                 1.4075,                 1.1497,                 1.9964,             0.00010609,             0.00010609,             0.00010609
